Species	RefSeq ID	Name
Salmonella enterica	GCF_000953495.1	SINFA
Staphylococcus aureus	GCF_031583105.1	ASM3158310v1
Salmonella enterica	GCF_020715305.1	ASM2071530v1
Salmonella enterica	GCF_016454765.1	ASM1645476v1
Listeria monocytogenes	GCF_029872175.2	ASM2987217v2
Pseudomonas aeruginosa	GCF_029961425.1	ASM2996142v1
Escherichia coli	GCF_006352265.1	ASM635226v1
Escherichia coli	GCF_010365505.1	ASM1036550v1
Enterococcus faecalis	GCF_023299645.1	ASM2329964v1
Escherichia coli	GCF_003999795.1	ASM399979v1
Pseudomonas aeruginosa	GCF_036232705.1	ASM3623270v1
Staphylococcus aureus	GCF_025559325.1	ASM2555932v1
Escherichia coli	GCF_001886935.1	ASM188693v1
Staphylococcus aureus	GCF_030064005.1	ASM3006400v1
Escherichia coli	GCF_011403355.1	ASM1140335v1
Salmonella enterica	GCF_004919165.1	ASM491916v1
Listeria monocytogenes	GCF_902385845.1	UHGG_MGYG-HGUT-02325
Escherichia coli	GCF_023516075.1	ASM2351607v1
Escherichia coli	GCF_021559835.1	ASM2155983v1
Escherichia coli	GCF_024331495.2	ASM2433149v2
Salmonella enterica	GCF_017893625.1	ASM1789362v1
Escherichia coli	GCF_035974115.1	ASM3597411v1
Escherichia coli	GCF_025995535.1	ASM2599553v1
Escherichia coli	GCF_002899535.1	ASM289953v1
Escherichia coli	GCF_030347195.1	ASM3034719v1
Pseudomonas aeruginosa	GCF_024266915.1	ASM2426691v1
Escherichia coli	GCF_024585845.1	ASM2458584v1
Salmonella enterica	GCF_025643195.1	ASM2564319v1
Escherichia coli	GCF_018279585.1	ASM1827958v1
Salmonella enterica	GCF_003325135.1	ASM332513v1
Staphylococcus aureus	GCF_030644125.1	ASM3064412v1
Limosilactobacillus fermentum	GCF_008802915.1	ASM880291v1
Escherichia coli	GCF_002968715.1	ASM296871v1
Pseudomonas aeruginosa	GCF_039921825.1	ASM3992182v1
Staphylococcus aureus	GCF_037076505.1	ASM3707650v1
Enterococcus faecalis	GCF_022699585.1	ASM2269958v1
Bacillus subtilis	GCF_000321395.1	ASM32139v1
Staphylococcus aureus	GCF_040254315.1	ASM4025431v1
Pseudomonas aeruginosa	GCF_016864415.1	ASM1686441v1
Escherichia coli	GCF_018323825.1	ASM1832382v1
Escherichia coli	GCF_030708395.1	ASM3070839v1
Staphylococcus aureus	GCF_900324385.1	20_LA_415
Staphylococcus aureus	GCF_003193745.1	ASM319374v1
Listeria monocytogenes	GCF_026976075.1	ASM2697607v1
Escherichia coli	GCF_037287475.1	ASM3728747v1
Staphylococcus aureus	GCF_016496025.1	ASM1649602v1
Escherichia coli	GCF_001890345.1	ASM189034v1
Salmonella enterica	GCF_037821945.1	ASM3782194v1
Escherichia coli	GCF_030028195.1	ASM3002819v1
Salmonella enterica	GCF_026873365.1	ASM2687336v1
Escherichia coli	GCF_037277815.1	ASM3727781v1
Staphylococcus aureus	GCF_001900185.1	ASM190018v1
Escherichia coli	GCF_030345435.1	ASM3034543v1
Salmonella enterica	GCF_024917215.1	ASM2491721v1
Salmonella enterica	GCF_002265865.2	ASM226586v2
Pseudomonas aeruginosa	GCF_002968515.1	ASM296851v1
Enterococcus faecalis	GCF_014844235.1	ASM1484423v1
Staphylococcus aureus	GCF_030717545.1	ASM3071754v1
Escherichia coli	GCF_000026285.1	ASM2628v2
Salmonella enterica	GCF_025259345.1	ASM2525934v1
Bacillus subtilis	GCF_009662255.1	ASM966225v1
Salmonella enterica	GCF_004136075.1	ASM413607v1
Pseudomonas aeruginosa	GCF_021513615.1	ASM2151361v1
Escherichia coli	GCF_040250335.1	ASM4025033v1
Pseudomonas aeruginosa	GCF_030413195.1	ASM3041319v1
Staphylococcus aureus	GCF_034042675.1	ASM3404267v1
Salmonella enterica	GCF_020691705.1	ASM2069170v1
Salmonella enterica	GCF_028623105.1	ASM2862310v1
Pseudomonas aeruginosa	GCF_027570475.1	ASM2757047v1
Escherichia coli	GCF_030707955.1	ASM3070795v1
Salmonella enterica	GCF_009728895.2	ASM972889v2
Enterococcus faecalis	GCF_024579755.1	ASM2457975v1
Escherichia coli	GCF_024396555.1	ASM2439655v1
Salmonella enterica	GCF_004919325.1	ASM491932v1
Pseudomonas aeruginosa	GCF_025263605.1	ASM2526360v1
Escherichia coli	GCF_037527585.1	ASM3752758v1
Salmonella enterica	GCF_022559385.1	ASM2255938v1
Escherichia coli	GCF_005221585.1	ASM522158v1
Pseudomonas aeruginosa	GCF_900618325.1	paerg011
Pseudomonas aeruginosa	GCF_029961285.1	ASM2996128v1
Escherichia coli	GCF_009738145.1	ASM973814v1
Listeria monocytogenes	GCF_002213945.1	ASM221394v1
Escherichia coli	GCF_023546825.1	ASM2354682v1
Staphylococcus aureus	GCF_002633805.1	ASM263380v1
Enterococcus faecalis	GCF_901553725.1	42197_D01
Salmonella enterica	GCF_008728495.1	ASM872849v1
Salmonella enterica	GCF_001922165.1	ASM192216v1
Escherichia coli	GCF_022558765.1	ASM2255876v1
Escherichia coli	GCF_008727135.1	ASM872713v1
Escherichia coli	GCF_013167395.1	ASM1316739v1
Escherichia coli	GCF_025999515.1	ASM2599951v1
Salmonella enterica	GCF_004324315.2	ASM432431v2
Bacillus subtilis	GCF_034377505.1	ASM3437750v1
Staphylococcus aureus	GCF_002000625.1	ASM200062v1
Salmonella enterica	GCF_022670755.1	ASM2267075v1
Pseudomonas aeruginosa	GCF_027571115.1	ASM2757111v1
Salmonella enterica	GCF_019670185.1	ASM1967018v1
Escherichia coli	GCF_003956465.1	ASM395646v1
Escherichia coli	GCF_036884755.1	ASM3688475v1
Escherichia coli	GCF_001900295.1	ASM190029v1
Staphylococcus aureus	GCF_022405575.1	ASM2240557v1
Pseudomonas aeruginosa	GCF_021166355.2	ASM2116635v2
Escherichia coli	GCF_014656605.1	ASM1465660v1
Escherichia coli	GCF_022558665.1	ASM2255866v1
Escherichia coli	GCF_029854515.1	ASM2985451v1
Escherichia coli	GCF_002951775.1	ASM295177v1
Escherichia coli	GCF_008761475.2	ASM876147v2
Staphylococcus aureus	GCF_009176765.1	ASM917676v1
Salmonella enterica	GCF_028607065.2	ASM2860706v2
Escherichia coli	GCF_013166955.1	ASM1316695v1
Escherichia coli	GCF_002192275.1	ASM219227v1
Staphylococcus aureus	GCF_005931015.2	ASM593101v2
Escherichia coli	GCF_000803705.1	ASM80370v1
Escherichia coli	GCF_003351485.1	ASM335148v1
Escherichia coli	GCF_016026195.1	ASM1602619v1
Staphylococcus aureus	GCF_038449175.2	Annotated_PS00642
Salmonella enterica	GCF_020714685.1	ASM2071468v1
Escherichia coli	GCF_000988385.1	ASM98838v1
Salmonella enterica	GCF_009729935.1	ASM972993v1
Escherichia coli	GCF_000743255.1	ASM74325v1
Pseudomonas aeruginosa	GCF_904866275.1	MINF_7A
Escherichia coli	GCF_002946715.1	ASM294671v1
Escherichia coli	GCF_003308955.1	ASM330895v1
Escherichia coli	GCF_003856695.1	ASM385669v1
Escherichia coli	GCF_002310715.1	ASM231071v1
Escherichia coli	GCF_000800215.1	ASM80021v1
Staphylococcus aureus	GCF_034424945.2	BSN42_Closure
Escherichia coli	GCF_025583345.2	ASM2558334v2
Salmonella enterica	GCF_000272735.4	ASM27273v4
Escherichia coli	GCF_016803875.1	ASM1680387v1
Enterococcus faecalis	GCF_036263135.1	ASM3626313v1
Staphylococcus aureus	GCF_021491775.1	ASM2149177v1
Escherichia coli	GCF_010724935.1	ASM1072493v1
Salmonella enterica	GCF_031036295.1	ASM3103629v1
Pseudomonas aeruginosa	GCF_022213165.2	ASM2221316v2
Escherichia coli	GCF_009762385.1	ASM976238v1
Staphylococcus aureus	GCF_022682325.1	ASM2268232v1
Salmonella enterica	GCF_016454485.1	ASM1645448v1
Escherichia coli	GCF_008926305.1	ASM892630v1
Pseudomonas aeruginosa	GCF_036417705.1	ASM3641770v1
Escherichia coli	GCF_037756885.1	ASM3775688v1
Salmonella enterica	GCF_037888705.1	ASM3788870v1
Pseudomonas aeruginosa	GCF_036233395.1	ASM3623339v1
Bacillus subtilis	GCF_009662175.1	ASM966217v1
Pseudomonas aeruginosa	GCF_030563765.1	ASM3056376v1
Enterococcus faecalis	GCF_030020615.1	ASM3002061v1
Escherichia coli	GCF_015571875.1	ASM1557187v1
Pseudomonas aeruginosa	GCF_021513555.1	ASM2151355v1
Escherichia coli	GCF_012934435.1	ASM1293443v1
Listeria monocytogenes	GCF_000218305.1	ASM21830v1
Salmonella enterica	GCF_032598805.1	ASM3259880v1
Escherichia coli	GCF_023206735.1	ASM2320673v1
Pseudomonas aeruginosa	GCF_019857465.1	ASM1985746v1
Salmonella enterica	GCF_004919305.1	ASM491930v1
Escherichia coli	GCF_017164875.1	ASM1716487v1
Pseudomonas aeruginosa	GCF_030489625.1	ASM3048962v1
Escherichia coli	GCF_030168695.1	ASM3016869v1
Escherichia coli	GCF_902810365.1	SC487
Escherichia coli	GCF_015135355.1	ASM1513535v1
Escherichia coli	GCF_013004045.1	ASM1300404v1
Escherichia coli	GCF_001900535.1	ASM190053v1
Escherichia coli	GCF_036499365.1	ASM3649936v1
Escherichia coli	GCF_024918115.1	ASM2491811v1
Pseudomonas aeruginosa	GCF_009676785.1	ASM967678v1
Escherichia coli	GCF_002193095.1	ASM219309v1
Staphylococcus aureus	GCF_000695875.1	ASM69587v1
Escherichia coli	GCF_005221945.1	ASM522194v1
Listeria monocytogenes	GCF_018310555.1	ASM1831055v1
Escherichia coli	GCF_016942475.1	ASM1694247v1
Staphylococcus aureus	GCF_025643635.1	ASM2564363v1
Salmonella enterica	GCF_003200975.2	ASM320097v2
Listeria monocytogenes	GCF_000209755.1	ASM20975v1
Staphylococcus aureus	GCF_030534195.1	ASM3053419v1
Salmonella enterica	GCF_001623825.2	ASM162382v2
Listeria monocytogenes	GCF_000600015.1	ASM60001v1
Escherichia coli	GCF_008925965.1	ASM892596v1
Escherichia coli	GCF_013085865.1	ASM1308586v1
Pseudomonas aeruginosa	GCF_023093935.1	ASM2309393v1
Limosilactobacillus fermentum	GCF_034048795.1	ASM3404879v1
Pseudomonas aeruginosa	GCF_004291075.1	ASM429107v1
Escherichia coli	GCF_001029125.1	ASM102912v1
Escherichia coli	GCF_024396575.1	ASM2439657v1
Bacillus subtilis	GCF_002982175.1	ASM298217v1
Staphylococcus aureus	GCF_009913115.1	ASM991311v1
Salmonella enterica	GCF_001834735.2	ASM183473v2
Escherichia coli	GCF_001969285.3	ASM196928v4
Escherichia coli	GCF_003030245.1	ASM303024v1
Bacillus subtilis	GCF_905315045.2	NRS6127B
Salmonella enterica	GCF_001620205.2	ASM162020v2
Staphylococcus aureus	GCF_020388905.1	ASM2038890v1
Salmonella enterica	GCF_003717715.1	ASM371771v1
Staphylococcus aureus	GCF_024741495.1	ASM2474149v1
Escherichia coli	GCF_904830975.1	L3_CS7_E2980
Salmonella enterica	GCF_002234735.2	ASM223473v2
Salmonella enterica	GCF_025725745.1	ASM2572574v1
Staphylococcus aureus	GCF_020389565.1	ASM2038956v1
Staphylococcus aureus	GCF_013415955.1	ASM1341595v1
Escherichia coli	GCF_964054525.1	30821_1_274
Escherichia coli	GCF_016904195.1	ASM1690419v1
Pseudomonas aeruginosa	GCF_900618245.1	paerg000
Bacillus subtilis	GCF_009913275.1	ASM991327v1
Staphylococcus aureus	GCF_020388825.1	ASM2038882v1
Listeria monocytogenes	GCF_002213505.1	ASM221350v1
Salmonella enterica	GCF_000494385.3	ASM49438v3
Escherichia coli	GCF_008727195.1	ASM872719v1
Enterococcus faecalis	GCF_036774845.1	ASM3677484v1
Pseudomonas aeruginosa	GCF_012971705.1	ASM1297170v1
Escherichia coli	GCF_030013385.1	ASM3001338v1
Escherichia coli	GCF_006777045.1	ASM677704v1
Escherichia coli	GCF_008033295.1	ASM803329v1
Salmonella enterica	GCF_002128365.1	ASM212836v1
Salmonella enterica	GCF_023330725.1	ASM2333072v1
Salmonella enterica	GCF_016864955.1	ASM1686495v1
Escherichia coli	GCF_036502845.1	ASM3650284v1
Salmonella enterica	GCF_000626295.1	ASM62629v1
Enterococcus faecalis	GCF_030020195.1	ASM3002019v1
Staphylococcus aureus	GCF_020389325.1	ASM2038932v1
Escherichia coli	GCF_030013185.1	ASM3001318v1
Escherichia coli	GCF_018884325.1	ASM1888432v1
Escherichia coli	GCF_037094515.1	ASM3709451v1
Escherichia coli	GCF_016132505.1	ASM1613250v1
Escherichia coli	GCF_037227975.1	ASM3722797v1
Staphylococcus aureus	GCF_900607305.1	BPH2056
Pseudomonas aeruginosa	GCF_001548135.1	ASM154813v1
Salmonella enterica	GCF_022670835.1	ASM2267083v1
Escherichia coli	GCF_023206715.1	ASM2320671v1
Escherichia coli	GCF_039914745.1	ASM3991474v1
Salmonella enterica	GCF_001612515.1	ASM161251v1
Escherichia coli	GCF_004135165.1	ASM413516v1
Escherichia coli	GCF_003971215.1	ASM397121v1
Staphylococcus aureus	GCF_034042695.1	ASM3404269v1
Pseudomonas aeruginosa	GCF_003052005.2	ASM305200v2
Salmonella enterica	GCF_008727655.1	ASM872765v1
Pseudomonas aeruginosa	GCF_037287505.1	ASM3728750v1
Escherichia coli	GCF_000730345.1	ASM73034v1
Salmonella enterica	GCF_000272815.2	ASM27281v2
Listeria monocytogenes	GCF_003032075.1	ASM303207v1
Listeria monocytogenes	GCF_000307045.1	ASM30704v1
Salmonella enterica	GCF_001647755.1	ASM164775v1
Staphylococcus aureus	GCF_013046885.1	ASM1304688v1
Escherichia coli	GCF_019915525.1	ASM1991552v1
Salmonella enterica	GCF_024731345.1	ASM2473134v1
Staphylococcus aureus	GCF_022870625.1	ASM2287062v1
Escherichia coli	GCF_003268695.1	ASM326869v1
Escherichia coli	GCF_019844015.1	ASM1984401v1
Pseudomonas aeruginosa	GCF_019857305.1	ASM1985730v1
Salmonella enterica	GCF_003717215.1	ASM371721v1
Escherichia coli	GCF_003856635.1	ASM385663v1
Staphylococcus aureus	GCF_034043235.1	ASM3404323v1
Staphylococcus aureus	GCF_040364095.1	ASM4036409v1
Pseudomonas aeruginosa	GCF_000223965.1	ASM22396v2
Enterococcus faecalis	GCF_021655635.1	ASM2165563v1
Salmonella enterica	GCF_000973665.2	ASM97366v2
Pseudomonas aeruginosa	GCF_040268335.1	ASM4026833v1
Pseudomonas aeruginosa	GCF_003571805.1	ASM357180v1
Staphylococcus aureus	GCF_020003165.1	ASM2000316v1
Escherichia coli	GCF_905331185.2	AI2981v1_cpp
Escherichia coli	GCF_037288615.1	ASM3728861v1
Escherichia coli	GCF_904425475.1	MG1655
Pseudomonas aeruginosa	GCF_030034675.1	ASM3003467v1
Enterococcus faecalis	GCF_040436425.1	ASM4043642v1
Pseudomonas aeruginosa	GCF_027570535.1	ASM2757053v1
Escherichia coli	GCF_036287665.1	ASM3628766v1
Escherichia coli	GCF_014863785.1	ASM1486378v1
Escherichia coli	GCF_019428705.1	ASM1942870v1
Escherichia coli	GCF_028201655.1	ASM2820165v1
Salmonella enterica	GCF_037776255.1	ASM3777625v1
Escherichia coli	GCF_024585725.1	ASM2458572v1
Pseudomonas aeruginosa	GCF_000359505.1	ASM35950v1
Salmonella enterica	GCF_029866625.1	ASM2986662v1
Enterococcus faecalis	GCF_033814935.1	ASM3381493v1
Limosilactobacillus fermentum	GCF_024637935.1	ASM2463793v1
Salmonella enterica	GCF_003718555.1	ASM371855v1
Salmonella enterica	GCF_031039015.1	ASM3103901v1
Enterococcus faecalis	GCF_022648425.1	ASM2264842v1
Staphylococcus aureus	GCF_002633845.1	ASM263384v1
Escherichia coli	GCF_001513615.1	ASM151361v1
Escherichia coli	GCF_024298945.1	ASM2429894v1
Pseudomonas aeruginosa	GCF_021513635.1	ASM2151363v1
Staphylococcus aureus	GCF_002310435.1	ASM231043v1
Escherichia coli	GCF_016775905.1	ASM1677590v1
Escherichia coli	GCF_013166935.1	ASM1316693v1
Escherichia coli	GCF_023546865.1	ASM2354686v1
Escherichia coli	GCF_002310735.1	ASM231073v1
Escherichia coli	GCF_030037835.1	ASM3003783v1
Escherichia coli	GCF_029962285.1	ASM2996228v1
Pseudomonas aeruginosa	GCF_003950015.1	ASM395001v1
Staphylococcus aureus	GCF_018399115.1	ASM1839911v1
Salmonella enterica	GCF_000430125.1	ASM43012v1
Escherichia coli	GCF_025995315.1	ASM2599531v1
Escherichia coli	GCF_017815815.1	ASM1781581v1
Pseudomonas aeruginosa	GCF_024266935.1	ASM2426693v1
Escherichia coli	GCF_026651245.1	ASM2665124v1
Staphylococcus aureus	GCF_020388715.1	ASM2038871v1
Staphylococcus aureus	GCF_001027105.1	ASM102710v1
Listeria monocytogenes	GCF_018336635.1	ASM1833663v1
Bacillus subtilis	GCF_030123145.1	ASM3012314v1
Escherichia coli	GCF_023272815.1	ASM2327281v1
Escherichia coli	GCF_003288275.1	ASM328827v1
Escherichia coli	GCF_000750555.1	ASM75055v1
Salmonella enterica	GCF_015074905.1	ASM1507490v1
Staphylococcus aureus	GCF_038050005.1	BSN180
Escherichia coli	GCF_030515175.1	ASM3051517v1
Escherichia coli	GCF_002952855.1	ASM295285v1
Salmonella enterica	GCF_003052785.2	ASM305278v2
Salmonella enterica	GCF_028743635.1	ASM2874363v1
Staphylococcus aureus	GCF_038096255.1	BSN158
Listeria monocytogenes	GCF_002831485.1	ASM283148v1
Staphylococcus aureus	GCF_030534175.1	ASM3053417v1
Escherichia coli	GCF_016404325.2	ASM1640432v2
Staphylococcus aureus	GCF_034421975.1	ASM3442197v1
Bacillus subtilis	GCF_037914925.1	ASM3791492v1
Listeria monocytogenes	GCF_029872245.2	ASM2987224v2
Staphylococcus aureus	GCF_005707215.1	ASM570721v1
Staphylococcus aureus	GCF_022404615.1	ASM2240461v1
Escherichia coli	GCF_022220885.1	ASM2222088v1
Bacillus subtilis	GCF_009662335.1	ASM966233v1
Escherichia coli	GCF_030036675.1	ASM3003667v1
Escherichia coli	GCF_013167555.1	ASM1316755v1
Staphylococcus aureus	GCF_014696975.1	ASM1469697v2
Escherichia coli	GCF_017165375.1	ASM1716537v1
Salmonella enterica	GCF_016454545.1	ASM1645454v1
Escherichia coli	GCF_037100245.1	ASM3710024v1
Staphylococcus aureus	GCF_022405515.1	ASM2240551v1
Salmonella enterica	GCF_004328785.1	ASM432878v1
Salmonella enterica	GCF_003031995.1	ASM303199v1
Escherichia coli	GCF_018884265.1	ASM1888426v1
Escherichia coli	GCF_031357085.1	ASM3135708v1
Listeria monocytogenes	GCF_009664755.1	ASM966475v1
Escherichia coli	GCF_003856655.1	ASM385665v1
Escherichia coli	GCF_004010675.1	ASM401067v1
Salmonella enterica	GCF_004564195.1	ASM456419v1
Escherichia coli	GCF_000285655.3	EC958.v1
Pseudomonas aeruginosa	GCF_027571195.1	ASM2757119v1
Escherichia coli	GCF_038396515.1	ASM3839651v1
Salmonella enterica	GCF_004124095.2	ASM412409v2
Escherichia coli	GCF_030285565.1	ASM3028556v1
Escherichia coli	GCF_037575275.1	ASM3757527v1
Escherichia coli	GCF_022558725.1	ASM2255872v1
Escherichia coli	GCF_030345575.1	ASM3034557v1
Staphylococcus aureus	GCF_951217025.1	Sa_BGR_NF1_PW.1
Staphylococcus aureus	GCF_036867165.2	BSN31-2_closure
Escherichia coli	GCF_016776065.1	ASM1677606v1
Salmonella enterica	GCF_030505915.1	ASM3050591v1
Escherichia coli	GCF_951803545.1	ARM46
Pseudomonas aeruginosa	GCF_027595025.1	ASM2759502v1
Salmonella enterica	GCF_001931575.1	ASM193157v1
Limosilactobacillus fermentum	GCF_024494505.1	ASM2449450v1
Escherichia coli	GCF_001900885.1	ASM190088v1
Staphylococcus aureus	GCF_009912595.1	ASM991259v1
Salmonella enterica	GCF_002863765.1	ASM286376v1
Pseudomonas aeruginosa	GCF_030121875.1	ASM3012187v1
Staphylococcus aureus	GCF_034035055.1	ASM3403505v1
Escherichia coli	GCF_021398975.1	ASM2139897v1
Salmonella enterica	GCF_028893155.1	ASM2889315v1
Salmonella enterica	GCF_024266165.1	ASM2426616v1
Escherichia coli	GCF_022493475.1	ASM2249347v1
Escherichia coli	GCF_037094525.1	ASM3709452v1
Escherichia coli	GCF_005037815.1	ASM503781v2
Salmonella enterica	GCF_003710125.1	ASM371012v1
Salmonella enterica	GCF_006516995.1	ASM651699v1
Salmonella enterica	GCF_003719555.1	ASM371955v1
Salmonella enterica	GCF_001173525.2	10493_1_75
Listeria monocytogenes	GCF_002213765.1	ASM221376v1
Escherichia coli	GCF_032294365.1	ASM3229436v1
Listeria monocytogenes	GCF_013177415.1	ASM1317741v1
Enterococcus faecalis	GCF_030517565.1	ASM3051756v1
Pseudomonas aeruginosa	GCF_031218375.1	ASM3121837v1
Pseudomonas aeruginosa	GCF_001792875.1	ASM179287v1
Escherichia coli	GCF_900186905.1	49923_G01
Staphylococcus aureus	GCF_001611385.1	ASM161138v1
Escherichia coli	GCF_004924255.1	ASM492425v1
Escherichia coli	GCF_003031795.1	ASM303179v1
Bacillus subtilis	GCF_023521175.1	ASM2352117v1
Staphylococcus aureus	GCF_034041215.1	ASM3404121v1
Pseudomonas aeruginosa	GCF_003626935.1	ASM362693v2
Salmonella enterica	GCF_036820215.1	ASM3682021v1
Escherichia coli	GCF_002952995.1	ASM295299v1
Staphylococcus aureus	GCF_018093205.1	ASM1809320v1
Escherichia coli	GCF_003051985.2	ASM305198v2
Salmonella enterica	GCF_024364985.1	ASM2436498v1
Escherichia coli	GCF_030347135.1	ASM3034713v1
Enterococcus faecalis	GCF_033814055.1	ASM3381405v1
Escherichia coli	GCF_024507935.1	ASM2450793v1
Listeria monocytogenes	GCF_008807935.1	ASM880793v1
Escherichia coli	GCF_027925745.1	ASM2792574v1
Escherichia coli	GCF_905332365.1	AI2938v1_cp
Pseudomonas aeruginosa	GCF_001618925.1	ASM161892v1
Escherichia coli	GCF_022811545.1	ASM2281154v1
Staphylococcus aureus	GCF_900607255.1	BPH2019
Escherichia coli	GCF_028551215.1	ASM2855121v1
Staphylococcus aureus	GCF_019653615.1	ASM1965361v1
Bacillus subtilis	GCF_019704375.1	ASM1970437v1
Salmonella enterica	GCF_005576595.1	ASM557659v1
Escherichia coli	GCF_016775805.1	ASM1677580v1
Escherichia coli	GCF_007833875.1	ASM783387v1
Escherichia coli	GCF_016944655.1	ASM1694465v1
Escherichia coli	GCF_000007445.1	ASM744v1
Escherichia coli	GCF_014169035.1	ASM1416903v1
Escherichia coli	GCF_030039425.1	ASM3003942v1
Escherichia coli	GCF_027286085.1	ASM2728608v1
Escherichia coli	GCF_008635785.2	ASM863578v2
Escherichia coli	GCF_017357765.1	ASM1735776v1
Listeria monocytogenes	GCF_002213905.1	ASM221390v1
Escherichia coli	GCF_008033315.1	ASM803331v1
Salmonella enterica	GCF_002210025.1	ASM221002v1
Salmonella enterica	GCF_006517155.1	ASM651715v1
Escherichia coli	GCF_003017455.1	ASM301745v1
Salmonella enterica	GCF_008727555.1	ASM872755v1
Staphylococcus aureus	GCF_038049065.1	BSN182
Escherichia coli	GCF_032295845.1	ASM3229584v1
Salmonella enterica	GCF_022655705.1	ASM2265570v1
Escherichia coli	GCF_001901165.1	ASM190116v1
Pseudomonas aeruginosa	GCF_000226155.1	ASM22615v1
Staphylococcus aureus	GCF_003031285.1	ASM303128v1
Escherichia coli	GCF_014854575.1	ASM1485457v1
Bacillus subtilis	GCF_039728905.1	ASM3972890v1
Escherichia coli	GCF_032293625.1	ASM3229362v1
Escherichia coli	GCF_900636125.1	38977_C01
Escherichia coli	GCF_023653845.1	ASM2365384v1
Listeria monocytogenes	GCF_010443035.1	ASM1044303v1
Escherichia coli	GCF_040550665.1	ASM4055066v1
Salmonella enterica	GCF_001887015.1	ASM188701v1
Pseudomonas aeruginosa	GCF_021249245.1	ASM2124924v1
Escherichia coli	GCF_001999185.1	ASM199918v1
Staphylococcus aureus	GCF_003193885.1	ASM319388v1
Escherichia coli	GCF_019431185.1	ASM1943118v1
Pseudomonas aeruginosa	GCF_004014755.1	ASM401475v2
Staphylococcus aureus	GCF_040409845.1	ASM4040984v1
Escherichia coli	GCF_017357545.1	ASM1735754v1
Escherichia coli	GCF_013167235.1	ASM1316723v1
Pseudomonas aeruginosa	GCF_000508765.1	ASM50876v1
Salmonella enterica	GCF_005890175.1	ASM589017v1
Staphylococcus aureus	GCF_000756205.1	ASM75620v1
Staphylococcus aureus	GCF_018409145.1	ASM1840914v1
Staphylococcus aureus	GCF_000568455.1	ASM56845v1
Staphylococcus aureus	GCF_009912995.1	ASM991299v1
Staphylococcus aureus	GCF_022221545.1	ASM2222154v1
Bacillus subtilis	GCF_031326045.1	ASM3132604v1
Escherichia coli	GCF_008931725.1	ASM893172v1
Escherichia coli	GCF_030515455.1	ASM3051545v1
Bacillus subtilis	GCF_039620435.1	ASM3962043v1
Limosilactobacillus fermentum	GCF_001941785.1	ASM194178v1
Escherichia coli	GCF_040550895.1	ASM4055089v1
Escherichia coli	GCF_000148605.1	ASM14860v1
Escherichia coli	GCF_015571855.1	ASM1557185v1
Pseudomonas aeruginosa	GCF_027570495.1	ASM2757049v1
Staphylococcus aureus	GCF_031326145.1	ASM3132614v1
Staphylococcus aureus	GCF_025559225.1	ASM2555922v1
Pseudomonas aeruginosa	GCF_011466835.1	ASM1146683v1
Escherichia coli	GCF_030553135.1	ASM3055313v1
Escherichia coli	GCF_029542525.1	ASM2954252v1
Escherichia coli	GCF_016904655.1	ASM1690465v1
Escherichia coli	GCF_030419025.1	ASM3041902v1
Escherichia coli	GCF_002163935.1	ASM216393v1
Listeria monocytogenes	GCF_028673515.1	ASM2867351v1
Escherichia coli	GCF_037482115.1	ASM3748211v1
Salmonella enterica	GCF_028892685.1	ASM2889268v1
Staphylococcus aureus	GCF_020388985.1	ASM2038898v1
Salmonella enterica	GCF_016452045.1	ASM1645204v1
Bacillus subtilis	GCF_009913535.1	ASM991353v1
Escherichia coli	GCF_028215995.1	ASM2821599v1
Escherichia coli	GCF_018085225.1	ASM1808522v1
Staphylococcus aureus	GCF_024399375.1	ASM2439937v1
Staphylococcus aureus	GCF_900004855.1	BB155
Escherichia coli	GCF_000814145.2	ASM81414v2
Salmonella enterica	GCF_000486915.2	ASM48691v2
Staphylococcus aureus	GCF_003573855.1	ASM357385v1
Bacillus subtilis	GCF_004119835.1	ASM411983v1
Escherichia coli	GCF_025399115.1	ASM2539911v1
Staphylococcus aureus	GCF_008620055.1	ASM862005v1
Staphylococcus aureus	GCF_022405205.1	ASM2240520v1
Listeria monocytogenes	GCF_027504005.1	ASM2750400v1
Staphylococcus aureus	GCF_030758795.1	ASM3075879v1
Staphylococcus aureus	GCF_025558965.1	ASM2555896v1
Enterococcus faecalis	GCF_028131645.1	ASM2813164v1
Salmonella enterica	GCF_026873405.1	ASM2687340v1
Escherichia coli	GCF_021554655.1	ASM2155465v1
Salmonella enterica	GCF_030505735.1	ASM3050573v1
Pseudomonas aeruginosa	GCF_003798125.1	ASM379812v1
Staphylococcus aureus	GCF_001019415.2	ASM101941v2
Escherichia coli	GCF_003030025.1	ASM303002v1
Salmonella enterica	GCF_002234795.1	ASM223479v1
Escherichia coli	GCF_016803915.1	ASM1680391v1
Staphylococcus aureus	GCF_023223475.1	ASM2322347v1
Salmonella enterica	GCF_030506565.1	ASM3050656v1
Pseudomonas aeruginosa	GCF_013255565.1	ASM1325556v1
Escherichia coli	GCF_005954725.1	ASM595472v1
Escherichia coli	GCF_014217135.1	ASM1421713v1
Salmonella enterica	GCF_000245535.1	ASM24553v1
Escherichia coli	GCF_040436785.1	ASM4043678v1
Pseudomonas aeruginosa	GCF_019466145.1	ASM1946614v1
Escherichia coli	GCF_022494855.1	ASM2249485v1
Pseudomonas aeruginosa	GCF_027570995.1	ASM2757099v1
