Species	RefSeq ID	Name
Listeria monocytogenes	GCF_001999085.1	ASM199908v1
Bacillus subtilis	GCF_033403035.1	ASM3340303v1
Pseudomonas aeruginosa	GCF_040571335.1	MRSN100690
Salmonella enterica	GCF_037844905.1	ASM3784490v1
Escherichia coli	GCF_000493595.2	EcoPMV1
Staphylococcus aureus	GCF_001611345.1	ASM161134v1
Staphylococcus aureus	GCF_000815245.1	ASM81524v1
Staphylococcus aureus	GCF_030533915.1	ASM3053391v1
Escherichia coli	GCF_000023365.1	ASM2336v1
Bacillus subtilis	GCF_024508195.1	ASM2450819v1
Staphylococcus aureus	GCF_040702945.1	ASM4070294v1
Salmonella enterica	GCF_016454345.1	ASM1645434v1
Pseudomonas aeruginosa	GCF_900497025.1	ASM90049702v1
Staphylococcus aureus	GCF_013307025.1	ASM1330702v1
Escherichia coli	GCF_025369715.1	ASM2536971v1
Bacillus subtilis	GCF_003665335.1	ASM366533v1
Staphylococcus aureus	GCF_009912255.1	ASM991225v1
Escherichia coli	GCF_036501905.1	ASM3650190v1
Escherichia coli	GCF_024584945.1	ASM2458494v1
Bacillus subtilis	GCF_027923485.1	ASM2792348v1
Salmonella enterica	GCF_001975605.1	ASM197560v1
Escherichia coli	GCF_038396705.1	ASM3839670v1
Pseudomonas aeruginosa	GCF_001687285.1	ASM168728v1
Escherichia coli	GCF_008642415.1	ASM864241v1
Salmonella enterica	GCF_003718055.1	ASM371805v1
Pseudomonas aeruginosa	GCF_038397815.1	ASM3839781v1
Escherichia coli	GCF_025995895.1	ASM2599589v1
Staphylococcus aureus	GCF_002355355.1	ASM235535v1
Escherichia coli	GCF_013167875.1	ASM1316787v1
Escherichia coli	GCF_001721125.1	ASM172112v1
Bacillus subtilis	GCF_037997165.1	ASM3799716v1
Enterococcus faecalis	GCF_012594215.1	ASM1259421v1
Escherichia coli	GCF_030295525.1	ASM3029552v1
Escherichia coli	GCF_022494785.1	ASM2249478v1
Escherichia coli	GCF_019614825.1	ASM1961482v1
Staphylococcus aureus	GCF_001717645.1	ASM171764v3
Staphylococcus aureus	GCF_038024695.1	WGS_using_MinION_R10.4.1_of_Staphylococcus_aureus_TUM22750
Escherichia coli	GCF_021378315.1	ASM2137831v1
Escherichia coli	GCF_029536675.1	ASM2953667v1
Listeria monocytogenes	GCF_900637785.1	52592_C02
Escherichia coli	GCF_001932515.1	ASM193251v1
Pseudomonas aeruginosa	GCF_036233255.1	ASM3623325v1
Escherichia coli	GCF_001558995.2	ASM155899v2
Pseudomonas aeruginosa	GCF_001516265.1	ASM151626v1
Pseudomonas aeruginosa	GCF_007559065.1	ASM755906v1
Escherichia coli	GCF_036496145.1	ASM3649614v1
Escherichia coli	GCF_008462425.1	ASM846242v1
Staphylococcus aureus	GCF_007726565.1	ASM772656v1
Salmonella enterica	GCF_030122395.1	ASM3012239v1
Salmonella enterica	GCF_037888865.1	ASM3788886v1
Staphylococcus aureus	GCF_000815125.1	ASM81512v1
Escherichia coli	GCF_016756455.1	ASM1675645v1
Salmonella enterica	GCF_020715045.1	ASM2071504v1
Pseudomonas aeruginosa	GCF_007559085.1	ASM755908v1
Salmonella enterica	GCF_009387895.1	ASM938789v1
Pseudomonas aeruginosa	GCF_018598285.3	ASM1859828v3
Enterococcus faecalis	GCF_030020645.1	ASM3002064v1
Escherichia coli	GCF_002848225.1	ASM284822v1
Salmonella enterica	GCF_963575775.1	GENOMIC21-002
Escherichia coli	GCF_008931865.1	ASM893186v1
Pseudomonas aeruginosa	GCF_029962145.1	ASM2996214v1
Salmonella enterica	GCF_037828885.1	ASM3782888v1
Salmonella enterica	GCF_003718095.1	ASM371809v1
Salmonella enterica	GCF_014524585.1	ASM1452458v1
Staphylococcus aureus	GCF_022406795.1	ASM2240679v1
Escherichia coli	GCF_011769865.1	ASM1176986v1
Pseudomonas aeruginosa	GCF_036233215.1	ASM3623321v1
Salmonella enterica	GCF_029580835.1	ASM2958083v1
Salmonella enterica	GCF_028893115.1	ASM2889311v1
Escherichia coli	GCF_024585885.1	ASM2458588v1
Escherichia coli	GCF_002180055.1	ASM218005v1
Pseudomonas aeruginosa	GCF_030444595.1	ASM3044459v1
Escherichia coli	GCF_037094605.1	ASM3709460v1
Escherichia coli	GCF_030998165.1	ASM3099816v1
Salmonella enterica	GCF_004919365.1	ASM491936v1
Salmonella enterica	GCF_026873425.1	ASM2687342v1
Pseudomonas aeruginosa	GCF_033221155.1	ASM3322115v1
Escherichia coli	GCF_009913415.1	ASM991341v1
Staphylococcus aureus	GCF_020150915.1	ASM2015091v1
Escherichia coli	GCF_964046655.1	30224_1_273
Escherichia coli	GCF_030168735.1	ASM3016873v1
Escherichia coli	GCF_008124365.1	ASM812436v1
Escherichia coli	GCF_900088105.1	ASM90008810v2
Staphylococcus aureus	GCF_030644025.1	ASM3064402v1
Pseudomonas aeruginosa	GCF_021513415.1	ASM2151341v1
Escherichia coli	GCF_036507615.1	ASM3650761v1
Salmonella enterica	GCF_030440615.1	ASM3044061v1
Salmonella enterica	GCF_022162985.1	ASM2216298v1
Staphylococcus aureus	GCF_025559605.1	ASM2555960v1
Escherichia coli	GCF_000245515.1	ASM24551v1
Escherichia coli	GCF_021166415.1	ASM2116641v1
Bacillus subtilis	GCF_025732155.1	ASM2573215v1
Escherichia coli	GCF_020540965.1	ASM2054096v1
Pseudomonas aeruginosa	GCF_029961625.1	ASM2996162v1
Staphylococcus aureus	GCF_900635305.1	40961_G01
Escherichia coli	GCF_037573545.1	ASM3757354v1
Salmonella enterica	GCF_037780985.1	ASM3778098v1
Escherichia coli	GCF_002201835.1	ASM220183v1
Salmonella enterica	GCF_024494525.1	ASM2449452v1
Escherichia coli	GCF_026248865.1	ASM2624886v1
Escherichia coli	GCF_022493175.1	ASM2249317v1
Listeria monocytogenes	GCF_900187225.1	51881_G01
Salmonella enterica	GCF_004847565.1	ASM484756v1
Salmonella enterica	GCF_004847345.1	ASM484734v1
Escherichia coli	GCF_030162155.2	ASM3016215v2
Escherichia coli	GCF_036497705.1	ASM3649770v1
Staphylococcus aureus	GCF_020389525.1	ASM2038952v1
Escherichia coli	GCF_017164975.1	ASM1716497v1
Salmonella enterica	GCF_006165145.1	ASM616514v1
Escherichia coli	GCF_037273335.1	ASM3727333v1
Escherichia coli	GCF_032375145.1	ASM3237514v1
Staphylococcus aureus	GCF_000284535.1	ASM28453v1
Enterococcus faecalis	GCF_036352235.1	ASM3635223v1
Staphylococcus aureus	GCF_001019305.2	ASM101930v2
Escherichia coli	GCF_040267595.1	MRSN130119
Salmonella enterica	GCF_009667855.1	ASM966785v1
Enterococcus faecalis	GCF_020616935.1	ASM2061693v1
Escherichia coli	GCF_030996525.1	ASM3099652v1
Salmonella enterica	GCF_000486365.2	ASM48636v2
Staphylococcus aureus	GCF_037343325.1	BSN140
Escherichia coli	GCF_002180215.1	ASM218021v1
Escherichia coli	GCF_029990605.1	ASM2999060v1
Escherichia coli	GCF_030345475.1	ASM3034547v1
Escherichia coli	GCF_018798845.1	ASM1879884v1
Pseudomonas aeruginosa	GCF_027595005.1	ASM2759500v1
Salmonella enterica	GCF_015052805.1	ASM1505280v1
Escherichia coli	GCF_037760445.1	ASM3776044v1
Staphylococcus aureus	GCF_030064025.1	ASM3006402v1
Salmonella enterica	GCF_037838505.1	ASM3783850v1
Escherichia coli	GCF_023653825.1	ASM2365382v1
Salmonella enterica	GCF_003589865.1	ASM358986v1
Pseudomonas aeruginosa	GCF_013467585.1	ASM1346758v1
Escherichia coli	GCF_038396355.1	ASM3839635v1
Escherichia coli	GCF_003018935.1	ASM301893v1
Bacillus subtilis	GCF_021172185.1	ASM2117218v1
Escherichia coli	GCF_900636235.1	39610_B01
Escherichia coli	GCF_963575455.1	F467
Escherichia coli	GCF_031662355.1	ASM3166235v1
Staphylococcus aureus	GCF_009684655.1	ASM968465v1
Staphylococcus aureus	GCF_001019575.2	ASM101957v2
Staphylococcus aureus	GCF_001611325.1	ASM161132v1
Enterococcus faecalis	GCF_023375465.1	ASM2337546v1
Escherichia coli	GCF_039926885.1	ASM3992688v1
Limosilactobacillus fermentum	GCF_022819245.1	ASM2281924v1
Escherichia coli	GCF_023657935.1	ASM2365793v1
Salmonella enterica	GCF_003071545.1	ASM307154v1
Bacillus subtilis	GCF_005160425.1	ASM516042v1
Salmonella enterica	GCF_003718415.1	ASM371841v1
Pseudomonas aeruginosa	GCF_001632245.1	ASM163224v1
Staphylococcus aureus	GCF_025561625.1	ASM2556162v1
Escherichia coli	GCF_026506335.1	ASM2650633v1
Escherichia coli	GCF_024585485.1	ASM2458548v1
Staphylococcus aureus	GCF_009739825.1	ASM973982v1
Escherichia coli	GCF_003956265.1	ASM395626v1
Escherichia coli	GCF_001886535.1	ASM188653v1
Salmonella enterica	GCF_030505835.1	ASM3050583v1
Escherichia coli	GCF_013371745.1	ASM1337174v1
Staphylococcus aureus	GCF_900474675.1	40961_F01
Enterococcus faecalis	GCF_003030425.1	ASM303042v1
Escherichia coli	GCF_003112205.1	ASM311220v1
Escherichia coli	GCF_015571655.1	ASM1557165v1
Staphylococcus aureus	GCF_000245495.1	ASM24549v1
Pseudomonas aeruginosa	GCF_029961445.1	ASM2996144v1
Escherichia coli	GCF_003591595.1	ASM359159v1
Staphylococcus aureus	GCF_022221525.1	ASM2222152v1
Salmonella enterica	GCF_000505365.2	ASM50536v2
Enterococcus faecalis	GCF_031208705.1	ASM3120870v1
Salmonella enterica	GCF_001705365.1	ASM170536v1
Salmonella enterica	GCF_012053905.1	ASM1205390v1
Pseudomonas aeruginosa	GCF_036233175.1	ASM3623317v1
Escherichia coli	GCF_014863825.1	ASM1486382v1
Escherichia coli	GCF_900474495.1	38344_F01
Bacillus subtilis	GCF_008831405.1	ASM883140v1
Escherichia coli	GCF_036495925.1	ASM3649592v1
Pseudomonas aeruginosa	GCF_025985465.1	ASM2598546v1
Escherichia coli	GCF_010668985.1	ASM1066898v1
Pseudomonas aeruginosa	GCF_021497425.1	ASM2149742v1
Escherichia coli	GCF_023653905.1	ASM2365390v1
Salmonella enterica	GCF_000623655.2	ASM62365v2
Escherichia coli	GCF_015534975.1	ASM1553497v1
Escherichia coli	GCF_001307215.1	ASM130721v1
Pseudomonas aeruginosa	GCF_029961325.1	ASM2996132v1
Salmonella enterica	GCF_029166965.1	ASM2916696v1
Escherichia coli	GCF_004368015.1	ASM436801v1
Listeria monocytogenes	GCF_029872215.2	ASM2987221v2
Escherichia coli	GCF_025369775.1	ASM2536977v1
Salmonella enterica	GCF_030122555.1	ASM3012255v1
Escherichia coli	GCF_030996425.1	ASM3099642v1
Escherichia coli	GCF_016776305.1	ASM1677630v1
Salmonella enterica	GCF_001360555.2	2010_7898
Escherichia coli	GCF_013167475.1	ASM1316747v1
Escherichia coli	GCF_005037795.1	ASM503779v2
Escherichia coli	GCF_024918915.1	ASM2491891v1
Staphylococcus aureus	GCF_030252775.1	ASM3025277v1
Escherichia coli	GCF_005221605.1	ASM522160v1
Salmonella enterica	GCF_014524605.1	ASM1452460v1
Escherichia coli	GCF_029227835.1	ASM2922783v1
Salmonella enterica	GCF_024137945.1	ASM2413794v1
Escherichia coli	GCF_028752715.1	ASM2875271v1
Escherichia coli	GCF_030438455.1	ASM3043845v1
Salmonella enterica	GCF_027942115.1	ASM2794211v1
Staphylococcus aureus	GCF_018968725.1	ASM1896872v1
Escherichia coli	GCF_011404355.1	ASM1140435v1
Staphylococcus aureus	GCF_037951045.1	BSN125
Salmonella enterica	GCF_003717435.1	ASM371743v1
Escherichia coli	GCF_026723745.1	ASM2672374v1
Escherichia coli	GCF_012974805.1	ASM1297480v1
Salmonella enterica	GCF_014334235.1	ASM1433423v1
Escherichia coli	GCF_034423795.1	ASM3442379v1
Escherichia coli	GCF_022760215.1	ASM2276021v1
Escherichia coli	GCF_008124285.1	ASM812428v1
