"Internal identifier"	"Strain name"
83	"NCBI Strain GCF_900092615.1_PRJEB14041_genomic_concatenated"
84	"NCBI Strain GCF_900096795.1_Ecoli_AG100_Sample3_Doxycycline_Assembly_genomic_concatenated"
85	"NCBI Strain GCF_900096845.1_Ecoli_AG100_Sample3_M9_Assembly_genomic_concatenated"
86	"NCBI Strain GCF_900149875.1_EPEC1_genomic_concatenated"
87	"NCBI Strain GCF_900149915.1_EPEC-E2348_69-V2_genomic_concatenated"
88	"NCBI Strain GCF_900174625.1_WI1-reUpload_genomic_concatenated"
89	"NCBI Strain GCF_900174635.1_WI2_genomic_concatenated"
90	"NCBI Strain GCF_900184875.1_Unitig_genomic_concatenated"
91	"NCBI Strain GCF_900186905.1_49923_G01_genomic_concatenated"
92	"NCBI Strain GCF_900474445.1_39641_B02_genomic_concatenated"
93	"NCBI Strain GCF_900474495.1_38344_F01_genomic_concatenated"
94	"NCBI Strain GCF_900474625.1_39888_E01_genomic_concatenated"
95	"NCBI Strain GCF_900497095.1_ASM90049709v1_genomic_concatenated"
96	"NCBI Strain GCF_900497415.1_ASM90049741v1_genomic_concatenated"
97	"NCBI Strain GCF_900497455.1_ASM90049745v1_genomic_concatenated"
98	"NCBI Strain GCF_900497475.1_ASM90049747v1_genomic_concatenated"
99	"NCBI Strain GCF_900497485.1_ASM90049748v1_genomic_concatenated"
100	"NCBI Strain GCF_900520285.1_ASM90052028v1_genomic_concatenated"
101	"NCBI Strain GCF_900520305.1_ASM90052030v1_genomic_concatenated"
102	"NCBI Strain GCF_900520325.1_ASM90052032v1_genomic_concatenated"
103	"NCBI Strain GCF_900520345.1_ASM90052034v1_genomic_concatenated"
104	"NCBI Strain GCF_900520365.1_ASM90052036v1_genomic_concatenated"
105	"NCBI Strain GCF_900520385.1_ASM90052038v1_genomic_concatenated"
106	"NCBI Strain GCF_900520395.1_ASM90052039v1_genomic_concatenated"
107	"NCBI Strain GCF_900618295.1_ecoli019_genomic_concatenated"
108	"NCBI Strain GCF_900622635.1_B36_genomic_concatenated"
109	"NCBI Strain GCF_900622655.1_MS14385_genomic_concatenated"
110	"NCBI Strain GCF_900622665.1_MS14386_genomic_concatenated"
111	"NCBI Strain GCF_900622695.1_MS14384_genomic_concatenated"
112	"NCBI Strain GCF_900635145.1_38490_G02_genomic_concatenated"
113	"NCBI Strain GCF_900635165.1_38670_F01_genomic_concatenated"
114	"NCBI Strain GCF_900635175.1_38936_C01_genomic_concatenated"
115	"NCBI Strain GCF_900635185.1_39038_C01_genomic_concatenated"
116	"NCBI Strain GCF_900635205.1_39081_F01_genomic_concatenated"
117	"NCBI Strain GCF_900635215.1_39859_D02_genomic_concatenated"
118	"NCBI Strain GCF_900635325.1_41556_D01_genomic_concatenated"
119	"NCBI Strain GCF_900635635.1_31436_D01_genomic_concatenated"
120	"NCBI Strain GCF_900636005.1_38389_A01_genomic_concatenated"
121	"NCBI Strain GCF_900636015.1_38490_A01_genomic_concatenated"
122	"NCBI Strain GCF_900636045.1_38656_G02_genomic_concatenated"
123	"NCBI Strain GCF_900636055.1_38656_H02_genomic_concatenated"
124	"NCBI Strain GCF_900636075.1_38670_C01_genomic_concatenated"
125	"NCBI Strain GCF_900636105.1_38936_F01_genomic_concatenated"
126	"NCBI Strain GCF_900636115.1_39038_A01_genomic_concatenated"
127	"NCBI Strain GCF_900636125.1_38977_C01_genomic_concatenated"
128	"NCBI Strain GCF_900636145.1_39111_A02_genomic_concatenated"
129	"NCBI Strain GCF_900636175.1_39130_G01_genomic_concatenated"
130	"NCBI Strain GCF_900636195.1_39220_B01_genomic_concatenated"
131	"NCBI Strain GCF_900636215.1_39282_G02_genomic_concatenated"
132	"NCBI Strain GCF_900636235.1_39610_B01_genomic_concatenated"
133	"NCBI Strain GCF_900636245.1_39610_F01_genomic_concatenated"
134	"NCBI Strain GCF_900636295.1_40295_G02_genomic_concatenated"
135	"NCBI Strain GCF_900636305.1_40415_B02_genomic_concatenated"
136	"NCBI Strain GCF_900636405.1_41767_E01_genomic_concatenated"
137	"NCBI Strain GCF_900636595.1_42925_A01_genomic_concatenated"
138	"NCBI Strain GCF_900636605.1_42912_F02_genomic_concatenated"
139	"NCBI Strain GCF_900636785.1_44257_F01_genomic_concatenated"
140	"NCBI Strain GCF_900636795.1_44087_H02_genomic_concatenated"
141	"NCBI Strain GCF_900637015.1_46514_C01_genomic_concatenated"
142	"NCBI Strain GCF_900659645.1_AUSMDU00008355_genomic_concatenated"
143	"NCBI Strain GCF_900659655.1_AUSMDU00008333_genomic_concatenated"
144	"NCBI Strain GCF_900659665.1_AUSMDU00008332_genomic_concatenated"
145	"NCBI Strain GCF_900699165.1_39282_E01-4_genomic_concatenated"
146	"NCBI Strain GCF_900747775.1_VREC0761_Chromosome_genomic_concatenated"
147	"NCBI Strain GCF_900747785.1_VREC0864_Chromosome_genomic_concatenated"
148	"NCBI Strain GCF_901733115.1_Escherichia_coli_MAD_genomic_concatenated"
149	"Isolate 1152"
150	"Isolate 1153"
151	"Isolate 1638"
